step,split,value
274,train_reward,0.0
275,train_loss,0.0
275,train_reward,0.0
276,train_loss,0.0
276,train_reward,0.0
277,train_loss,0.0
277,train_reward,0.0
278,train_loss,0.0
278,train_reward,0.0
279,train_loss,0.0
279,train_reward,0.0
280,train_loss,0.0
280,train_reward,0.0
281,train_loss,0.0
281,train_reward,0.0
282,train_loss,0.0
282,train_reward,0.0
283,train_loss,0.0
283,train_reward,0.0
284,train_loss,0.0
284,train_reward,0.0
285,train_loss,0.0
285,train_reward,0.0
286,train_loss,-0.18102332949638367
286,train_reward,0.25
287,train_loss,-0.20961810648441315
287,train_reward,0.25
288,train_loss,0.0
288,train_reward,0.0
289,train_loss,0.0
289,train_reward,0.0
290,train_loss,0.0
290,train_reward,0.0
291,train_loss,0.0
291,train_reward,0.0
292,train_loss,0.0
292,train_reward,0.0
293,train_loss,0.0
293,train_reward,0.0
294,train_loss,0.0
294,train_reward,0.0
295,train_loss,0.0
295,train_reward,0.0
296,train_loss,0.0
296,train_reward,0.0
297,train_loss,0.0
297,train_reward,0.0
298,train_loss,0.0
298,train_reward,0.0
299,train_loss,0.0
299,train_reward,0.0
300,train_loss,-0.03509823977947235
300,train_reward,0.375
300,gsm8k_accuracy,0.01
301,train_loss,0.0
301,train_reward,0.0
302,train_loss,0.0
302,train_reward,0.0
303,train_loss,0.0
303,train_reward,0.0
304,train_loss,0.0
304,train_reward,0.0
305,train_loss,0.0
305,train_reward,0.0
306,train_loss,0.0
306,train_reward,0.0
307,train_loss,0.0
307,train_reward,0.0
308,train_loss,0.0
308,train_reward,0.0
309,train_loss,0.0
309,train_reward,0.0
310,train_loss,0.0
310,train_reward,0.0
311,train_loss,0.0
311,train_reward,0.0
312,train_loss,0.0
312,train_reward,0.0
313,train_loss,0.0
313,train_reward,0.0
314,train_loss,0.0
314,train_reward,0.0
315,train_loss,0.0
315,train_reward,0.0
316,train_loss,0.0
316,train_reward,0.0
317,train_loss,0.0
317,train_reward,0.0
318,train_loss,0.0
318,train_reward,0.0
319,train_loss,0.0
319,train_reward,0.0
320,train_loss,0.0
320,train_reward,0.0
321,train_loss,0.0
321,train_reward,0.0
322,train_loss,0.0
322,train_reward,0.0
323,train_loss,0.0
323,train_reward,0.0
324,train_loss,0.0
324,train_reward,0.0
325,train_loss,0.0
325,train_reward,0.0
326,train_loss,0.0
326,train_reward,0.0
327,train_loss,0.0
327,train_reward,0.0
328,train_loss,0.0
328,train_reward,0.0
329,train_loss,0.0
329,train_reward,0.0
330,train_loss,0.0
330,train_reward,0.0
331,train_loss,0.0
331,train_reward,0.0
332,train_loss,0.0
332,train_reward,0.0
333,train_loss,0.0
333,train_reward,0.0
334,train_loss,0.0
334,train_reward,0.0
335,train_loss,0.0
335,train_reward,0.0
336,train_loss,0.0
336,train_reward,0.0
337,train_loss,0.0
337,train_reward,0.0
338,train_loss,0.0
338,train_reward,0.0
339,train_loss,0.04271102324128151
339,train_reward,0.75
340,train_loss,0.0
340,train_reward,0.0
341,train_loss,0.0
341,train_reward,0.0
342,train_loss,0.0
342,train_reward,0.0
343,train_loss,0.0
343,train_reward,0.0
344,train_loss,0.0
344,train_reward,0.0
345,train_loss,0.0
345,train_reward,0.0
346,train_loss,0.0
346,train_reward,0.0
347,train_loss,0.0
347,train_reward,0.0
348,train_loss,0.0
348,train_reward,0.0
349,train_loss,0.0
349,train_reward,0.0
350,train_loss,0.0
350,train_reward,0.0
350,gsm8k_accuracy,0.02
351,train_loss,-1.0577797889709473
351,train_reward,0.75
352,train_loss,0.0
352,train_reward,0.0
353,train_loss,0.0
353,train_reward,0.0
354,train_loss,0.0
354,train_reward,0.0
355,train_loss,0.0
355,train_reward,0.0
356,train_loss,0.0
356,train_reward,0.0
357,train_loss,0.0
357,train_reward,0.0
358,train_loss,0.0
358,train_reward,0.0
359,train_loss,0.0
359,train_reward,0.0
360,train_loss,0.0
360,train_reward,0.0
361,train_loss,0.0
361,train_reward,0.0
362,train_loss,0.0
362,train_reward,0.0
363,train_loss,0.07732617110013962
363,train_reward,0.875
364,train_loss,0.0
364,train_reward,0.0
365,train_loss,0.0
365,train_reward,0.0
366,train_loss,0.0
366,train_reward,0.0
367,train_loss,0.0
367,train_reward,0.0
368,train_loss,0.0
368,train_reward,0.0
369,train_loss,0.0
369,train_reward,0.0
370,train_loss,0.0
370,train_reward,0.0
371,train_loss,0.0
371,train_reward,0.0
372,train_loss,0.0
372,train_reward,0.0
373,train_loss,0.0
373,train_reward,0.0
374,train_loss,0.0
374,train_reward,0.0
375,train_loss,0.0
375,train_reward,0.0
376,train_loss,0.0
376,train_reward,0.0
377,train_loss,0.0
377,train_reward,0.0
378,train_loss,0.0
378,train_reward,0.0
379,train_loss,0.0
379,train_reward,0.0
380,train_loss,0.0
380,train_reward,0.0
381,train_loss,0.0
381,train_reward,0.0
382,train_loss,0.0
382,train_reward,0.0
383,train_loss,0.0
383,train_reward,0.0
384,train_loss,0.0
384,train_reward,0.0
385,train_loss,0.0
385,train_reward,0.0
386,train_loss,0.0
386,train_reward,0.0
387,train_loss,0.0
387,train_reward,0.0
388,train_loss,0.0
388,train_reward,0.0
389,train_loss,0.0
389,train_reward,0.0
390,train_loss,0.0
390,train_reward,0.0
391,train_loss,0.0
391,train_reward,0.0
392,train_loss,0.0
392,train_reward,0.0
393,train_loss,0.0
393,train_reward,0.0
394,train_loss,0.0
394,train_reward,0.0
395,train_loss,0.0
395,train_reward,0.0
396,train_loss,0.0
396,train_reward,0.0
397,train_loss,0.0
397,train_reward,0.0
398,train_loss,0.0
398,train_reward,0.0
399,train_loss,0.0
399,train_reward,0.0
400,train_loss,0.0
400,train_reward,0.0
400,gsm8k_accuracy,0.02
401,train_loss,0.0
401,train_reward,0.0
402,train_loss,0.0
402,train_reward,0.0
403,train_loss,0.0
403,train_reward,0.0
404,train_loss,0.0
404,train_reward,0.0
405,train_loss,0.0
405,train_reward,0.0
406,train_loss,0.0
406,train_reward,0.0
407,train_loss,-0.04458741471171379
407,train_reward,0.125
408,train_loss,0.0
408,train_reward,0.0
409,train_loss,0.0
409,train_reward,0.0
410,train_loss,0.0
410,train_reward,0.0
411,train_loss,0.0
411,train_reward,0.0
412,train_loss,0.0
412,train_reward,0.0
413,train_loss,0.0
413,train_reward,0.0
414,train_loss,0.0
414,train_reward,0.0
415,train_loss,0.0
415,train_reward,0.0
416,train_loss,0.0
416,train_reward,0.0
417,train_loss,0.0
417,train_reward,0.0
418,train_loss,0.0
418,train_reward,0.0
419,train_loss,0.0
419,train_reward,0.0
420,train_loss,0.0
420,train_reward,0.0
421,train_loss,0.0
421,train_reward,0.0
422,train_loss,0.0
422,train_reward,0.0
423,train_loss,0.05210251361131668
423,train_reward,0.625
424,train_loss,0.0
424,train_reward,0.0
425,train_loss,0.0
425,train_reward,0.0
426,train_loss,0.0
426,train_reward,0.0
427,train_loss,0.0
427,train_reward,0.0
428,train_loss,0.0
428,train_reward,0.0
429,train_loss,0.0
429,train_reward,0.0
430,train_loss,0.0
430,train_reward,0.0
431,train_loss,0.0
431,train_reward,0.0
432,train_loss,0.0
432,train_reward,0.0
433,train_loss,0.0
433,train_reward,0.0
434,train_loss,0.0
434,train_reward,0.0
435,train_loss,0.0
435,train_reward,0.0
436,train_loss,0.0
436,train_reward,0.0
437,train_loss,0.0
437,train_reward,0.0
438,train_loss,0.0
438,train_reward,0.0
439,train_loss,0.0
439,train_reward,0.0
440,train_loss,0.0
440,train_reward,0.0
441,train_loss,0.0
441,train_reward,0.0
442,train_loss,0.0
442,train_reward,0.0
443,train_loss,0.0
443,train_reward,0.0
444,train_loss,0.0
444,train_reward,0.0
445,train_loss,-0.6665661931037903
445,train_reward,0.75
446,train_loss,0.0
446,train_reward,0.0
447,train_loss,0.0
447,train_reward,0.0
448,train_loss,0.0
448,train_reward,0.0
449,train_loss,0.0
449,train_reward,0.0
450,train_loss,0.0
450,train_reward,0.0
450,gsm8k_accuracy,0.02
451,train_loss,-0.362310528755188
451,train_reward,0.5
452,train_loss,0.0
452,train_reward,0.0
453,train_loss,0.0
453,train_reward,0.0
454,train_loss,0.0
454,train_reward,0.0
455,train_loss,0.0
455,train_reward,0.0
456,train_loss,0.0
456,train_reward,0.0
457,train_loss,0.0
457,train_reward,0.0
458,train_loss,0.0
458,train_reward,0.0
459,train_loss,0.0
459,train_reward,0.0
460,train_loss,0.0
460,train_reward,0.0
461,train_loss,0.0
461,train_reward,0.0
462,train_loss,0.0
462,train_reward,0.0
463,train_loss,0.0
463,train_reward,0.0
464,train_loss,0.0
464,train_reward,0.0
465,train_loss,0.0
465,train_reward,0.0
466,train_loss,0.0
466,train_reward,0.0
467,train_loss,0.0
467,train_reward,0.0
468,train_loss,0.0
468,train_reward,0.0
469,train_loss,0.0
469,train_reward,0.0
470,train_loss,0.0
470,train_reward,0.0
471,train_loss,0.0
471,train_reward,0.0
472,train_loss,0.0
472,train_reward,0.0
473,train_loss,0.0
473,train_reward,0.0
474,train_loss,0.0
474,train_reward,0.0
475,train_loss,0.0
475,train_reward,0.0
476,train_loss,0.0
476,train_reward,0.0
477,train_loss,0.0
477,train_reward,0.0
478,train_loss,0.0
478,train_reward,0.0
479,train_loss,0.0
479,train_reward,0.0
480,train_loss,0.0
480,train_reward,0.0
481,train_loss,0.0
481,train_reward,0.0
482,train_loss,0.0
482,train_reward,0.0
483,train_loss,0.0
483,train_reward,0.0
484,train_loss,0.0
484,train_reward,0.0
485,train_loss,0.0
485,train_reward,0.0
486,train_loss,0.0
486,train_reward,0.0
487,train_loss,0.0
487,train_reward,0.0
488,train_loss,0.0
488,train_reward,0.0
489,train_loss,0.0
489,train_reward,0.0
490,train_loss,0.0
490,train_reward,0.0
491,train_loss,0.0
491,train_reward,0.0
492,train_loss,0.0
492,train_reward,0.0
493,train_loss,0.0
493,train_reward,0.0
494,train_loss,0.0
494,train_reward,0.0
495,train_loss,0.0
495,train_reward,0.0
496,train_loss,0.0
496,train_reward,0.0
497,train_loss,0.0
497,train_reward,0.0
498,train_loss,0.0
498,train_reward,0.0
499,train_loss,0.0
499,train_reward,0.0
500,train_loss,0.0
500,train_reward,0.0
500,gsm8k_accuracy,0.02
501,train_loss,0.0
501,train_reward,0.0
502,train_loss,0.0
502,train_reward,0.0
503,train_loss,0.0
503,train_reward,0.0
504,train_loss,0.0
504,train_reward,0.0
505,train_loss,0.0
505,train_reward,0.0
506,train_loss,0.0
506,train_reward,0.0
507,train_loss,0.0
507,train_reward,0.0
508,train_loss,0.0
508,train_reward,0.0
509,train_loss,0.0
509,train_reward,0.0
510,train_loss,0.0
510,train_reward,0.0
511,train_loss,0.0
511,train_reward,0.0
512,train_loss,0.0
512,train_reward,0.0
513,train_loss,0.369385689496994
513,train_reward,0.125
514,train_loss,0.0
514,train_reward,0.0
515,train_loss,0.0
515,train_reward,0.0
516,train_loss,0.0
516,train_reward,0.0
517,train_loss,0.0
517,train_reward,0.0
518,train_loss,0.0
518,train_reward,0.0
519,train_loss,0.0
519,train_reward,0.0
520,train_loss,0.0
520,train_reward,0.0
521,train_loss,0.0
521,train_reward,0.0
522,train_loss,0.0
522,train_reward,0.0
523,train_loss,0.0
523,train_reward,0.0
524,train_loss,0.0
524,train_reward,0.0
525,train_loss,0.0
525,train_reward,0.0
526,train_loss,0.0
526,train_reward,0.0
527,train_loss,0.0
527,train_reward,0.0
528,train_loss,0.0
528,train_reward,0.0
529,train_loss,0.0
529,train_reward,0.0
530,train_loss,0.0
530,train_reward,0.0
531,train_loss,0.0
531,train_reward,0.0
532,train_loss,0.0
532,train_reward,0.0
533,train_loss,0.0
533,train_reward,0.0
534,train_loss,0.0
534,train_reward,0.0
535,train_loss,0.0
535,train_reward,0.0
536,train_loss,0.0
536,train_reward,0.0
537,train_loss,0.0
537,train_reward,0.0
538,train_loss,0.0
538,train_reward,0.0
539,train_loss,0.0
539,train_reward,0.0
540,train_loss,0.0
540,train_reward,0.0
541,train_loss,0.0
541,train_reward,0.0
542,train_loss,0.0
542,train_reward,0.0
543,train_loss,0.0
543,train_reward,0.0
544,train_loss,0.0
544,train_reward,0.0
545,train_loss,0.0
545,train_reward,0.0
546,train_loss,0.0
546,train_reward,0.0
547,train_loss,0.0
547,train_reward,0.0
548,train_loss,0.0
548,train_reward,0.0
549,train_loss,0.0
549,train_reward,0.0
550,train_loss,0.0
550,train_reward,0.0
550,gsm8k_accuracy,0.01
551,train_loss,0.0
551,train_reward,0.0
552,train_loss,0.0
552,train_reward,0.0
553,train_loss,0.0
553,train_reward,0.0
554,train_loss,0.0
554,train_reward,0.0
555,train_loss,0.0
555,train_reward,0.0
556,train_loss,0.0
556,train_reward,0.0
557,train_loss,0.0
557,train_reward,0.0
558,train_loss,0.0
558,train_reward,0.0
559,train_loss,0.0
559,train_reward,0.0
560,train_loss,0.0
560,train_reward,0.0
561,train_loss,0.0
561,train_reward,0.0
562,train_loss,0.0
562,train_reward,0.0
563,train_loss,0.0
563,train_reward,0.0
564,train_loss,0.0
564,train_reward,0.0
565,train_loss,0.0
565,train_reward,0.0
566,train_loss,0.0
566,train_reward,0.0
567,train_loss,0.0
567,train_reward,0.0
568,train_loss,0.0
568,train_reward,0.0
569,train_loss,0.0
569,train_reward,0.0
570,train_loss,0.0
570,train_reward,0.0
571,train_loss,0.0
571,train_reward,0.0
572,train_loss,0.0
572,train_reward,0.0
573,train_loss,0.0
573,train_reward,0.0
574,train_loss,0.0
574,train_reward,0.0
575,train_loss,0.0
575,train_reward,0.0
576,train_loss,0.0
576,train_reward,0.0
577,train_loss,0.0
577,train_reward,0.0
578,train_loss,0.0
578,train_reward,0.0
579,train_loss,0.0
579,train_reward,0.0
580,train_loss,0.0
580,train_reward,0.0
581,train_loss,0.0
581,train_reward,0.0
582,train_loss,0.0
582,train_reward,0.0
583,train_loss,0.0
583,train_reward,0.0
584,train_loss,0.0
584,train_reward,0.0
585,train_loss,0.0
585,train_reward,0.0
586,train_loss,0.0
586,train_reward,0.0
587,train_loss,0.0
587,train_reward,0.0
588,train_loss,0.0
588,train_reward,0.0
589,train_loss,0.0
589,train_reward,0.0
590,train_loss,0.0
590,train_reward,0.0
591,train_loss,0.0
591,train_reward,0.0
592,train_loss,0.0
592,train_reward,0.0
593,train_loss,0.0
593,train_reward,0.0
594,train_loss,0.0
594,train_reward,0.0
595,train_loss,0.0
595,train_reward,0.0
596,train_loss,0.0
596,train_reward,0.0
597,train_loss,0.0
597,train_reward,0.0
598,train_loss,0.0
598,train_reward,0.0
599,train_loss,0.0
599,train_reward,0.0
600,train_loss,0.0
600,train_reward,0.0
600,gsm8k_accuracy,0.0
601,train_loss,0.0
601,train_reward,0.0
602,train_loss,0.0
602,train_reward,0.0
603,train_loss,0.0
603,train_reward,0.0
604,train_loss,0.0
604,train_reward,0.0
605,train_loss,0.0
605,train_reward,0.0
606,train_loss,0.0
606,train_reward,0.0
607,train_loss,0.0
607,train_reward,0.0
608,train_loss,0.0
608,train_reward,0.0
609,train_loss,0.0
609,train_reward,0.0
610,train_loss,0.0
610,train_reward,0.0
611,train_loss,0.0
611,train_reward,0.0
612,train_loss,0.0
612,train_reward,0.0
613,train_loss,0.0
613,train_reward,0.0
614,train_loss,0.0
614,train_reward,0.0
615,train_loss,0.0
615,train_reward,0.0
616,train_loss,0.0
616,train_reward,0.0
617,train_loss,0.0
617,train_reward,0.0
618,train_loss,0.0
618,train_reward,0.0
